block_id,latitude,longitude,count
1,4.92,-104.95,29
2,40.31,-73.975,42
3,40.405,-74.085,28
4,40.6,-73.99,31
5,40.605,-74,34
6,40.605,-73.97,27
7,40.605,-73.96,28
8,40.605,-73.895,28
9,40.61,-73.98,45
10,40.615,-74.03,44
11,40.615,-74.02,28
12,40.615,-74.015,26
13,40.615,-73.975,30
14,40.615,-73.97,80
15,40.62,-74.03,37
16,40.62,-74.025,91
17,40.62,-73.975,39
18,40.62,-73.97,32
19,40.62,-73.96,30
20,40.625,-74.025,45
21,40.625,-73.97,30
22,40.625,-73.965,62
23,40.625,-73.96,37
24,40.625,-73.92,26
25,40.63,-74.025,52
26,40.63,-74.02,89
27,40.63,-73.975,53
28,40.63,-73.97,78
29,40.63,-73.965,131
30,40.63,-73.955,48
31,40.63,-73.945,130
32,40.63,-73.935,39
33,40.635,-74.025,47
34,40.635,-74.02,94
35,40.635,-74.015,28
36,40.635,-73.975,72
37,40.635,-73.97,181
38,40.635,-73.965,176
39,40.635,-73.96,26
40,40.635,-73.955,62
41,40.635,-73.95,103
42,40.635,-73.945,39
43,40.635,-73.94,98
44,40.635,-73.785,27
45,40.64,-74.015,93
46,40.64,-74.01,29
47,40.64,-73.98,137
48,40.64,-73.975,276
49,40.64,-73.97,228
50,40.64,-73.965,82
51,40.64,-73.96,62
52,40.64,-73.955,146
53,40.64,-73.95,35
54,40.64,-73.945,40
55,40.64,-73.925,37
56,40.64,-73.92,30
57,40.64,-73.795,784
58,40.64,-73.79,13746
59,40.64,-73.785,32567
60,40.64,-73.78,67676
61,40.64,-73.775,1005
62,40.645,-74.01,61
63,40.645,-74.005,47
64,40.645,-73.98,40
65,40.645,-73.975,70
66,40.645,-73.97,184
67,40.645,-73.965,69
68,40.645,-73.96,128
69,40.645,-73.955,192
70,40.645,-73.95,27
71,40.645,-73.945,69
72,40.645,-73.8,1154
73,40.645,-73.795,449
74,40.645,-73.79,14666
75,40.645,-73.785,29035
76,40.645,-73.78,25484
77,40.645,-73.775,50668
78,40.65,-74.005,133
79,40.65,-74,167
80,40.65,-73.975,67
81,40.65,-73.97,74
82,40.65,-73.96,176
83,40.65,-73.955,336
84,40.65,-73.95,77
85,40.65,-73.945,66
86,40.65,-73.94,37
87,40.65,-73.93,34
88,40.65,-73.805,637
89,40.65,-73.8,112
90,40.65,-73.79,33
91,40.65,-73.785,701
92,40.655,-74.005,54
93,40.655,-74,142
94,40.655,-73.995,83
95,40.655,-73.98,103
96,40.655,-73.975,53
97,40.655,-73.96,414
98,40.655,-73.955,228
99,40.655,-73.95,102
100,40.655,-73.93,27
101,40.655,-73.925,48
102,40.655,-73.92,42
103,40.655,-73.915,34
104,40.655,-73.91,32
105,40.655,-73.885,30
106,40.655,-73.805,579
107,40.655,-73.79,2258
108,40.655,-73.785,49
109,40.66,-73.995,334
110,40.66,-73.99,471
111,40.66,-73.985,160
112,40.66,-73.98,353
113,40.66,-73.975,125
114,40.66,-73.96,514
115,40.66,-73.955,83
116,40.66,-73.95,150
117,40.66,-73.945,41
118,40.66,-73.94,50
119,40.66,-73.935,31
120,40.66,-73.93,158
121,40.66,-73.925,36
122,40.66,-73.92,54
123,40.66,-73.915,27
124,40.66,-73.895,35
125,40.66,-73.89,44
126,40.66,-73.805,157
127,40.66,-73.8,395
128,40.66,-73.79,307
129,40.66,-73.785,143
130,40.665,-73.995,76
131,40.665,-73.99,637
132,40.665,-73.985,1028
133,40.665,-73.98,541
134,40.665,-73.975,237
135,40.665,-73.96,66
136,40.665,-73.955,137
137,40.665,-73.95,230
138,40.665,-73.945,83
139,40.665,-73.94,110
140,40.665,-73.935,104
141,40.665,-73.93,138
142,40.665,-73.925,30
143,40.665,-73.92,41
144,40.665,-73.915,28
145,40.665,-73.905,29
146,40.665,-73.895,100
147,40.665,-73.89,34
148,40.665,-73.83,27
149,40.665,-73.82,29
150,40.665,-73.805,72
151,40.665,-73.8,578
152,40.665,-73.795,199
153,40.665,-73.79,147
154,40.665,-73.785,90
155,40.665,-73.78,71
156,40.67,-74.01,42
157,40.67,-74,47
158,40.67,-73.995,616
159,40.67,-73.99,232
160,40.67,-73.985,1712
161,40.67,-73.98,866
162,40.67,-73.975,549
163,40.67,-73.97,292
164,40.67,-73.965,324
165,40.67,-73.96,480
166,40.67,-73.955,547
167,40.67,-73.95,430
168,40.67,-73.945,76
169,40.67,-73.94,89
170,40.67,-73.935,86
171,40.67,-73.93,105
172,40.67,-73.925,65
173,40.67,-73.92,28
174,40.67,-73.915,41
175,40.67,-73.91,35
176,40.67,-73.905,26
177,40.67,-73.865,26
178,40.67,-73.84,36
179,40.67,-73.8,582
180,40.67,-73.77,28
181,40.675,-74.015,27
182,40.675,-74.01,212
183,40.675,-74.005,39
184,40.675,-74,1303
185,40.675,-73.995,1646
186,40.675,-73.99,119
187,40.675,-73.985,386
188,40.675,-73.98,3570
189,40.675,-73.975,684
190,40.675,-73.97,2996
191,40.675,-73.965,480
192,40.675,-73.96,369
193,40.675,-73.955,562
194,40.675,-73.95,468
195,40.675,-73.945,454
196,40.675,-73.94,245
197,40.675,-73.935,186
198,40.675,-73.93,163
199,40.675,-73.925,109
200,40.675,-73.92,74
201,40.675,-73.915,47
202,40.675,-73.91,60
203,40.675,-73.905,45
204,40.675,-73.9,37
205,40.675,-73.895,63
206,40.675,-73.885,30
207,40.675,-73.88,26
208,40.675,-73.8,498
209,40.68,-74.01,111
210,40.68,-74.005,139
211,40.68,-74,400
212,40.68,-73.995,4032
213,40.68,-73.99,2692
214,40.68,-73.985,98
215,40.68,-73.98,1191
216,40.68,-73.975,7741
217,40.68,-73.97,814
218,40.68,-73.965,854
219,40.68,-73.96,734
220,40.68,-73.955,436
221,40.68,-73.95,495
222,40.68,-73.945,329
223,40.68,-73.94,284
224,40.68,-73.935,139
225,40.68,-73.93,75
226,40.68,-73.925,103
227,40.68,-73.92,72
228,40.68,-73.915,57
229,40.68,-73.91,80
230,40.68,-73.905,82
231,40.68,-73.805,331
232,40.68,-73.8,198
233,40.685,-74.18,220
234,40.685,-74,215
235,40.685,-73.995,2682
236,40.685,-73.99,4413
237,40.685,-73.985,2975
238,40.685,-73.98,4304
239,40.685,-73.975,2539
240,40.685,-73.97,1804
241,40.685,-73.965,1389
242,40.685,-73.96,284
243,40.685,-73.955,688
244,40.685,-73.95,884
